CSD,Period,"Apartment, less than 5 stories (Count)","Apartment, 5 or more stories (Count)","Apartment, duplex (Count)",Movable dwelling (Count),Other attached dwelling (Count),Row house (Count),Semi-detached house (Count),Single-detached house (Count),Key
Calgary,2016,72850,32885,21860,2035,200,44670,29270,262950,Calgary2016
Calgary,2021,81880,40700,20500,1850,183715,48865,32270,276045,Calgary2021
Calmar,2001,45,0,0,60,0,0,35,525,Calmar2001
Calmar,2006,25,0,0,95,0,0,35,570,Calmar2006
Calmar,2011,50,0,5,60,0,25,10,615,Calmar2011
Calmar,2016,50,0,0,80,0,20,45,645,Calmar2016
Calmar,2021,55,0,0,60,145,55,30,710,Calmar2021
Camrose,2001,1330,0,135,50,15,155,360,4080,Camrose2001
Camrose,2006,1525,0,170,45,10,250,390,4345,Camrose2006
Camrose,2011,1450,0,315,170,10,315,385,4815,Camrose2011
Camrose,2016,1640,65,205,145,10,440,580,4970,Camrose2016
Camrose,2021,1605,55,195,160,2850,455,585,5075,Camrose2021
Camrose County,2001,0,0,5,90,15,0,5,2455,Camrose County2001
Camrose County,2006,0,0,10,185,0,0,50,2330,Camrose County2006
Camrose County,2011,0,0,5,180,5,0,0,2670,Camrose County2011
Camrose County,2016,10,0,0,220,5,0,5,2865,Camrose County2016
Camrose County,2021,0,0,0,225,40,10,25,2960,Camrose County2021
Canmore,2001,485,55,195,220,5,640,280,2135,Canmore2001
Canmore,2006,760,110,205,40,20,720,510,2415,Canmore2006
Canmore,2011,1090,10,255,5,5,900,435,2475,Canmore2011
Canmore,2016,1205,80,350,5,5,1080,475,2540,Canmore2016
Canmore,2021,1675,250,430,10,3975,1270,600,2575,Canmore2021
Carbon,2001,5,0,0,25,0,15,0,155,Carbon2001
Carbon,2006,20,0,0,30,0,0,0,155,Carbon2006
Carbon,2011,5,0,0,25,0,15,0,160,Carbon2011
Carbon,2016,10,0,0,25,0,5,0,160,Carbon2016
Carbon,2021,10,0,0,15,35,25,0,175,Carbon2021
Carcajou 187,2021,0,0,0,0,0,0,0,0,Carcajou 1872021
Cardston,2001,60,0,10,5,10,25,10,1005,Cardston2001
Cardston,2006,85,0,0,30,15,30,30,980,Cardston2006
Cardston,2011,55,0,0,25,0,45,40,1045,Cardston2011
Cardston,2016,15,0,10,0,0,60,25,1065,Cardston2016
Cardston,2021,70,0,10,10,175,40,35,1080,Cardston2021
Cardston County,2001,5,0,5,60,0,0,5,960,Cardston County2001
Cardston County,2006,0,0,10,40,10,0,0,945,Cardston County2006
Cardston County,2011,0,0,10,40,0,0,0,975,Cardston County2011
Cardston County,2016,0,0,5,30,0,0,5,1005,Cardston County2016
Cardston County,2021,0,0,0,10,20,0,15,1110,Cardston County2021
Carmangay,2001,0,0,0,30,0,5,0,85,Carmangay2001
Carmangay,2006,0,0,0,20,0,0,0,90,Carmangay2006
Carmangay,2011,0,0,0,30,0,5,0,85,Carmangay2011
Carmangay,2016,0,0,0,35,0,0,0,80,Carmangay2016
Carmangay,2021,0,0,0,15,0,0,0,115,Carmangay2021
Caroline,2001,10,0,5,80,5,25,5,100,Caroline2001
Caroline,2006,0,0,0,0,10,45,0,175,Caroline2006
Caroline,2011,0,0,0,75,0,15,15,105,Caroline2011
Caroline,2016,10,0,20,85,0,5,5,110,Caroline2016
Caroline,2021,20,0,0,75,35,10,0,105,Caroline2021
Carstairs,2001,115,0,0,10,0,50,30,640,Carstairs2001
Carstairs,2006,55,0,10,65,0,45,25,805,Carstairs2006
Carstairs,2011,15,0,15,5,0,65,55,1160,Carstairs2011
Carstairs,2016,10,0,25,100,10,70,65,1265,Carstairs2016
Carstairs,2021,50,0,0,75,275,65,150,1495,Carstairs2021
Castle Island,2021,0,0,0,0,0,0,0,0,Castle Island2021
Castor,2001,20,0,0,30,10,5,5,345,Castor2001
Castor,2006,0,0,0,30,0,35,10,330,Castor2006
Castor,2011,30,0,0,30,0,5,10,350,Castor2011
Castor,2016,20,0,0,30,0,0,10,355,Castor2016
Castor,2021,10,0,0,35,20,0,15,340,Castor2021
Cereal,2001,0,0,0,20,0,5,0,55,Cereal2001
Cereal,2006,0,0,0,0,0,0,0,60,Cereal2006
Cereal,2011,0,0,0,5,0,10,0,55,Cereal2011
Cereal,2016,0,0,0,15,5,0,0,40,Cereal2016
Champion,2001,5,0,0,30,0,0,0,115,Champion2001
Champion,2006,0,0,0,50,0,0,0,110,Champion2006
Champion,2011,0,0,0,30,0,5,0,125,Champion2011
Champion,2016,0,0,0,0,0,5,5,160,Champion2016
Champion,2021,0,0,0,40,0,0,0,130,Champion2021
Chauvin,2001,0,0,0,30,0,5,0,110,Chauvin2001
Chauvin,2006,0,0,0,15,0,0,0,120,Chauvin2006
Chauvin,2011,0,0,0,20,0,5,0,120,Chauvin2011
Chauvin,2016,0,0,0,20,0,5,0,120,Chauvin2016
Chauvin,2021,0,0,0,20,0,0,0,120,Chauvin2021
Chestermere,2001,0,0,0,0,0,5,20,1085,Chestermere2001
Chestermere,2006,40,0,0,15,0,95,220,2690,Chestermere2006
Chestermere,2011,80,0,5,5,0,290,355,3905,Chestermere2011
Chestermere,2016,195,0,10,5,0,545,490,4865,Chestermere2016
