CSDUID,CSD,Period,IndicatorSummaryDescription,Count
4817033,Lesser Slave River No.124,2016,Cattle and Calves (number of),10258.0
4817033,Lesser Slave River No.124,2021,Cattle and Calves (number of),10104.0
4810058,Lamont County,2021,Cattle and Calves (number of),28541.0
4810058,Lamont County,2001,Cattle and Calves (number of),0.0
4810058,Lamont County,2006,Cattle and Calves (number of),52690.0
4810058,Lamont County,2011,Cattle and Calves (number of),35703.0
4810058,Lamont County,2016,Cattle and Calves (number of),43104.0
4810048,Two Hills County No. 21,2001,Cattle and Calves (number of),0.0
4810048,Two Hills County No. 21,2006,Cattle and Calves (number of),92910.0
4810048,Two Hills County No. 21,2011,Cattle and Calves (number of),40311.0
4810048,Two Hills County No. 21,2016,Cattle and Calves (number of),37304.0
4810048,Two Hills County No. 21,2021,Cattle and Calves (number of),64564.0
4814003,Yellowhead County,2021,Cattle and Calves (number of),60209.0
4814003,Yellowhead County,2001,Cattle and Calves (number of),0.0
4814003,Yellowhead County,2006,Cattle and Calves (number of),77731.0
4814003,Yellowhead County,2011,Cattle and Calves (number of),56111.0
4814003,Yellowhead County,2016,Cattle and Calves (number of),0.0
