CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4811059,Sturgeon County,2011,Cattle and Calves (number of),,27184.00000
4811059,Sturgeon County,2016,Cattle and Calves (number of),,32532.00000
4817095,Mackenzie County,2001,Cattle and Calves (number of)
4817095,Mackenzie County,2006,Cattle and Calves (number of),,20605.00000
4817095,Mackenzie County,2011,Cattle and Calves (number of),,16701.00000
4817095,Mackenzie County,2016,Cattle and Calves (number of),,15049.00000
4817095,Mackenzie County,2021,Cattle and Calves (number of),,21613.00000
4817062,Clear Hills,2021,Cattle and Calves (number of),,38335.00000
4817062,Clear Hills,2001,Cattle and Calves (number of)
4817062,Clear Hills,2006,Cattle and Calves (number of),,34634.00000
4817062,Clear Hills,2011,Cattle and Calves (number of),,22149.00000
4817062,Clear Hills,2016,Cattle and Calves (number of),,26732.00000
4818015,Greenview No. 16,2001,Cattle and Calves (number of)
4818015,Greenview No. 16,2006,Cattle and Calves (number of),,65731.00000
4818015,Greenview No. 16,2011,Cattle and Calves (number of),,43505.00000
4818015,Greenview No. 16,2016,Cattle and Calves (number of),,41121.00000
4818015,Greenview No. 16,2021,Cattle and Calves (number of),,48992.00000
4819006,Grande Prairie County No. 1,2021,Cattle and Calves (number of),,72024.00000
4819006,Grande Prairie County No. 1,2001,Cattle and Calves (number of)
4819006,Grande Prairie County No. 1,2006,Cattle and Calves (number of),,77884.00000
4819006,Grande Prairie County No. 1,2011,Cattle and Calves (number of),,65055.00000
4819006,Grande Prairie County No. 1,2016,Cattle and Calves (number of),,68654.00000
4812004,Bonnyville No. 87,2001,Cattle and Calves (number of)
4812004,Bonnyville No. 87,2006,Cattle and Calves (number of),,94119.00000
4812004,Bonnyville No. 87,2011,Cattle and Calves (number of),,63418.00000
4812004,Bonnyville No. 87,2016,Cattle and Calves (number of),,60842.00000
4812004,Bonnyville No. 87,2021,Cattle and Calves (number of),,65363.00000
4812014,St. Paul County No. 19,2021,Cattle and Calves (number of),,95629.00000
4812014,St. Paul County No. 19,2001,Cattle and Calves (number of)
4812014,St. Paul County No. 19,2006,Cattle and Calves (number of),,109822.00000
4812014,St. Paul County No. 19,2011,Cattle and Calves (number of),,87338.00000
4812014,St. Paul County No. 19,2016,Cattle and Calves (number of),,78674.00000
4812022,Smoky Lake County,2001,Cattle and Calves (number of)
4812022,Smoky Lake County,2006,Cattle and Calves (number of),,56476.00000
4812022,Smoky Lake County,2011,Cattle and Calves (number of),,41371.00000
4812022,Smoky Lake County,2016,Cattle and Calves (number of),,39031.00000
4812022,Smoky Lake County,2021,Cattle and Calves (number of),,41506.00000
4819071,Peace No. 135,2021,Cattle and Calves (number of),,11807.00000
4819071,Peace No. 135,2001,Cattle and Calves (number of)
4819071,Peace No. 135,2006,Cattle and Calves (number of),,15897.00000
4819071,Peace No. 135,2011,Cattle and Calves (number of),,8511.00000
4819071,Peace No. 135,2016,Cattle and Calves (number of),,7621.00000
4815007,Crowsnest Pass,2001,Cattle and Calves (number of)
4815007,Crowsnest Pass,2006,Cattle and Calves (number of),,176.00000
4815015,Bighorn No. 8,2016,Cattle and Calves (number of),,6874.00000
4815015,Bighorn No. 8,2001,Cattle and Calves (number of)
4815015,Bighorn No. 8,2006,Cattle and Calves (number of),,4796.00000
4815015,Bighorn No. 8,2011,Cattle and Calves (number of),,7516.00000
4815015,Bighorn No. 8,2021,Cattle and Calves (number of)
4815037,Improvement District No. 12 Jasper Park,2011,Cattle and Calves (number of),,0.00000
4815037,Improvement District No. 12 Jasper Park,2016,Cattle and Calves (number of),,0.00000
4815037,Improvement District No. 12 Jasper Park,2021,Cattle and Calves (number of),,0.00000
4815045,Ranchland No. 66,2021,Cattle and Calves (number of),,10864.00000
4815045,Ranchland No. 66,2001,Cattle and Calves (number of)
4815045,Ranchland No. 66,2006,Cattle and Calves (number of),,19477.00000
4815045,Ranchland No. 66,2011,Cattle and Calves (number of),,14364.00000
4815045,Ranchland No. 66,2016,Cattle and Calves (number of),,17953.00000
4816037,Wood Buffalo,2021,Cattle and Calves (number of),,0.00000
4816051,Improvement District No. 24 Wood Buffalo,2021,Cattle and Calves (number of),,0.00000
4811012,Leduc County,2021,Cattle and Calves (number of),,60800.00000
4811012,Leduc County,2001,Cattle and Calves (number of)
4811012,Leduc County,2006,Cattle and Calves (number of),,90850.00000
4811012,Leduc County,2011,Cattle and Calves (number of),,60388.00000
4811012,Leduc County,2016,Cattle and Calves (number of),,57879.00000
4811001,Wetaskiwin County No. 10,2001,Cattle and Calves (number of)
4811001,Wetaskiwin County No. 10,2006,Cattle and Calves (number of),,111772.00000
4811001,Wetaskiwin County No. 10,2011,Cattle and Calves (number of),,75652.00000
4811001,Wetaskiwin County No. 10,2016,Cattle and Calves (number of),,72727.00000
4811001,Wetaskiwin County No. 10,2021,Cattle and Calves (number of),,67603.00000
4817076,Northern Lights County,2021,Cattle and Calves (number of),,25558.00000
4817076,Northern Lights County,2001,Cattle and Calves (number of)
4817076,Northern Lights County,2006,Cattle and Calves (number of),,34737.00000
4817076,Northern Lights County,2011,Cattle and Calves (number of),,18662.00000
4817076,Northern Lights County,2016,Cattle and Calves (number of),,26552.00000
4813036,Thorhild County,2001,Cattle and Calves (number of)
4813036,Thorhild County,2006,Cattle and Calves (number of),,37493.00000
4813036,Thorhild County,2011,Cattle and Calves (number of),,28723.00000
4813036,Thorhild County,2016,Cattle and Calves (number of),,19932.00000
4813036,Thorhild County,2021,Cattle and Calves (number of),,23755.00000
4813044,Athabasca County,2021,Cattle and Calves (number of),,48465.00000
4813044,Athabasca County,2001,Cattle and Calves (number of)
4813044,Athabasca County,2006,Cattle and Calves (number of),,84879.00000
4813044,Athabasca County,2011,Cattle and Calves (number of),,49362.00000
4813044,Athabasca County,2016,Cattle and Calves (number of),,49410.00000
4817033,Lesser Slave River No.124,2001,Cattle and Calves (number of)
4817033,Lesser Slave River No.124,2006,Cattle and Calves (number of),,16275.00000
