CSDUID,CSD,Period,IndicatorSummaryDescription,Count
4815037,Improvement District No. 12 Jasper Park,2016,Pigs (number of),0.0
4815045,Ranchland No. 66,2001,Pigs (number of),0.0
4815045,Ranchland No. 66,2006,Pigs (number of),0.0
4815045,Ranchland No. 66,2011,Pigs (number of),0.0
4815045,Ranchland No. 66,2016,Pigs (number of),0.0
4815045,Ranchland No. 66,2021,Pigs (number of),0.0
4816037,Wood Buffalo,2021,Pigs (number of),0.0
4816037,Wood Buffalo,2016,Pigs (number of),0.0
4816051,Improvement District No. 24 Wood Buffalo,2016,Pigs (number of),0.0
4816051,Improvement District No. 24 Wood Buffalo,2021,Pigs (number of),0.0
4811012,Leduc County,2011,Pigs (number of),16274.0
4811012,Leduc County,2001,Pigs (number of),0.0
4811012,Leduc County,2006,Pigs (number of),19621.0
4811012,Leduc County,2016,Pigs (number of),0.0
4811012,Leduc County,2021,Pigs (number of),0.0
4811001,Wetaskiwin County No. 10,2001,Pigs (number of),0.0
4811001,Wetaskiwin County No. 10,2006,Pigs (number of),29049.0
4811001,Wetaskiwin County No. 10,2011,Pigs (number of),0.0
4811001,Wetaskiwin County No. 10,2021,Pigs (number of),0.0
4811001,Wetaskiwin County No. 10,2016,Pigs (number of),1809.0
4817076,Northern Lights County,2016,Pigs (number of),152.0
4817076,Northern Lights County,2001,Pigs (number of),0.0
4817076,Northern Lights County,2006,Pigs (number of),307.0
4817076,Northern Lights County,2011,Pigs (number of),82.0
4817076,Northern Lights County,2021,Pigs (number of),0.0
4813036,Thorhild County,2001,Pigs (number of),0.0
4813036,Thorhild County,2006,Pigs (number of),424.0
4813036,Thorhild County,2011,Pigs (number of),0.0
4813036,Thorhild County,2021,Pigs (number of),0.0
4813036,Thorhild County,2016,Pigs (number of),1287.0
4813044,Athabasca County,2006,Pigs (number of),4587.0
4813044,Athabasca County,2001,Pigs (number of),0.0
4813044,Athabasca County,2011,Pigs (number of),0.0
4813044,Athabasca County,2016,Pigs (number of),0.0
4813044,Athabasca County,2021,Pigs (number of),0.0
4817033,Lesser Slave River No.124,2001,Pigs (number of),0.0
4817033,Lesser Slave River No.124,2006,Pigs (number of),0.0
4817033,Lesser Slave River No.124,2011,Pigs (number of),0.0
4817033,Lesser Slave River No.124,2016,Pigs (number of),0.0
4817033,Lesser Slave River No.124,2021,Pigs (number of),0.0
4810058,Lamont County,2001,Pigs (number of),0.0
4810058,Lamont County,2011,Pigs (number of),0.0
4810058,Lamont County,2016,Pigs (number of),0.0
4810058,Lamont County,2021,Pigs (number of),0.0
4810058,Lamont County,2006,Pigs (number of),2121.0
4810048,Two Hills County No. 21,2016,Pigs (number of),128.0
4810048,Two Hills County No. 21,2001,Pigs (number of),0.0
4810048,Two Hills County No. 21,2006,Pigs (number of),9277.0
4810048,Two Hills County No. 21,2011,Pigs (number of),0.0
4810048,Two Hills County No. 21,2021,Pigs (number of),0.0
4814003,Yellowhead County,2001,Pigs (number of),0.0
4814003,Yellowhead County,2006,Pigs (number of),2075.0
4814003,Yellowhead County,2011,Pigs (number of),65.0
4814003,Yellowhead County,2021,Pigs (number of),0.0
4814003,Yellowhead County,2016,Pigs (number of),558.0
