,Unnamed: 0,fire_year,fire_number,fire_name,current_size,size_class,fire_location_latitude,fire_location_longitude,fire_start_date,wind_direction,wind_speed,Municipality
522,19557,2018,CWF015,,13,C,51.188,-114.7476,43229.0625,W,12,Municipal District of Bighorn
523,19624,2018,RWF045,Porcupine Fire,1670.9,E,51.879,-116.382,43308.75,N,2,Clearwater County
524,19638,2018,SWF007,,25.11,C,55.363888,-115.728787,43220.75,SW,18,Big Lakes County
525,19640,2018,LWF074,,42.9,D,54.382114,-111.319715,43232.58333,NW,20,Municipal District of Bonnyville
526,19672,2017,MWF065,,174.4,D,57.535917,-111.458995,42948.5,SW,10,Wood Buffalo
527,19675,2017,SWF090,,11,C,57.299635,-113.151352,42952.73958,SE,20,Municipal District of Opportunity
528,19718,2018,HWF221,,35,C,58.434667,-115.835583,43349.61806,W,30,Mackenzie County
529,19737,2018,SWF132,,66.5,D,57.217417,-113.093133,43313.59097,SW,15,Municipal District of Opportunity
530,19743,2018,MWF095,,608.13,E,59.715083,-110.712383,43329.66667,W,50,Wood Buffalo
531,19753,2017,HWF292,,448,E,58.690667,-119.084833,43003.33333,SW,15,Mackenzie County
532,19756,2018,CWF060,,12.5,C,51.194367,-114.516633,43243.625,E,8,
533,19757,2018,HWF083,Little Rapids,4114.7,E,58.86975,-116.517967,43244.47917,SW,17,Mackenzie County
534,19759,2018,HWF086,,225,E,59.390417,-115.924533,43244.33333,NE,8,Mackenzie County
535,19804,2018,HWF089,,17.6,C,57.826278,-115.119443,43244.6875,E,16,Mackenzie County
536,19855,2019,HWF149,,16.9,C,59.295333,-119.532167,43669,N,10,Mackenzie County
537,19856,2019,HWF150,,64.8,D,59.229333,-119.605667,43669.70764,N,10,Mackenzie County
538,19878,2019,SWF156,,17.18,C,56.890933,-113.08885,43665.5,NE,5,Municipal District of Opportunity
539,19908,2019,HWF127,,43.1,D,58.726917,-114.3315,43664,NW,5,Mackenzie County
540,19929,2019,LWF136,,14.4,C,55.403661,-111.346918,43668.25,S,7,Lac La Biche County
541,19982,2019,WWF032,,33.6,C,54.476617,-115.95916,43613.54167,W,15,Woodlands County
542,19988,2019,HWF171,,29.8,C,58.213579,-116.081499,43718.77083,SE,10,Mackenzie County
543,19999,2019,SWF050,McMillan Complex,1456.4,E,55.655167,-114.544067,43603.59097,SE,11,Municipal District of Lesser Slave River
544,20000,2019,SWF049,McMillan Complex,222837.2,E,55.716367,-114.40635,43603.59097,SE,35,Municipal District of Lesser Slave River
545,20024,2020,SWF013,,243.79,E,55.246944,-116.609589,43957.625,NW,27,Big Lakes County
546,20061,2020,HWF011,,74,D,58.467567,-114.460182,43963.70833,NW,10,Mackenzie County
