CSDUID,CSD,Period,IndicatorSummaryDescription,Crop Type,Count
4803011,Pincher Creek No. 9,2011,Cropland (Acres),Durum Wheat,0.0
4803011,Pincher Creek No. 9,2016,Cropland (Acres),Durum Wheat,0.0
4803011,Pincher Creek No. 9,2021,Cropland (Acres),Durum Wheat,0.0
4804004,Special Area No. 2,2006,Cropland (Acres),Durum Wheat,0.0
4804004,Special Area No. 2,2011,Cropland (Acres),Durum Wheat,13873.0
4804004,Special Area No. 2,2016,Cropland (Acres),Durum Wheat,0.0
4804004,Special Area No. 2,2021,Cropland (Acres),Durum Wheat,17324.0
4804012,Special Area No. 3,2006,Cropland (Acres),Durum Wheat,49550.0
4804012,Special Area No. 3,2011,Cropland (Acres),Durum Wheat,54979.0
4804012,Special Area No. 3,2016,Cropland (Acres),Durum Wheat,123904.0
4804012,Special Area No. 3,2021,Cropland (Acres),Durum Wheat,92185.0
4804020,Special Area No. 4,2006,Cropland (Acres),Durum Wheat,0.0
4804020,Special Area No. 4,2011,Cropland (Acres),Durum Wheat,2002.0
4804020,Special Area No. 4,2016,Cropland (Acres),Durum Wheat,0.0
4804020,Special Area No. 4,2021,Cropland (Acres),Durum Wheat,8510.0
4805001,Vulcan County,2006,Cropland (Acres),Durum Wheat,60866.0
4805001,Vulcan County,2011,Cropland (Acres),Durum Wheat,45519.0
4805001,Vulcan County,2016,Cropland (Acres),Durum Wheat,122487.0
4805001,Vulcan County,2021,Cropland (Acres),Durum Wheat,110444.0
4806001,Foothills County,2006,Cropland (Acres),Durum Wheat,0.0
4806001,Foothills County,2011,Cropland (Acres),Durum Wheat,4243.0
4806001,Foothills County,2016,Cropland (Acres),Durum Wheat,1995.0
4806001,Foothills County,2021,Cropland (Acres),Durum Wheat,0.0
4806014,Rocky View County,2006,Cropland (Acres),Durum Wheat,560.0
4806014,Rocky View County,2011,Cropland (Acres),Durum Wheat,4102.0
