Municipality,Year,Concat,Sum_firesize,Count_fires
Northern Sunrise County,2015,Municipal District of Ranchland No. 66 2015,1621.5900000000001,5
Ponoka County,2015,Municipal District of Smoky River 2015,1621.5900000000001,5
Saddle Hills County,2015,Northern Sunrise County 2015,1621.5900000000001,5
Wood Buffalo,2013,County of Grande Prairie 2013,27.599999999999998,2
Woodlands County,2016,Municipal District of Opportunity 2016,39.099999999999994,2
Yellowhead County,2017,Clearwater County 2017,51.900000000000006,7
Athabasca County,2015,Wood Buffalo 2015,57397.869999999995,3
Big Lakes County,2013,Wood Buffalo 2013,57397.869999999995,6
Brazeau County,2014,Wood Buffalo 2014,57397.869999999995,6
Census Division No. 9,2016,Wood Buffalo 2016,57397.869999999995,6
Clear Hills County,2017,Wood Buffalo 2017,57397.869999999995,6
Clearwater County,2014,County of Grande Prairie 2014,0,1
County of Grande Prairie,2015,Big Lakes County 2015,0,1
County of Northern Lights,2012,Big Lakes County 2012,0,2
County of Wetaskiwin,2013,Clearwater County 2013,0,2
Kananaskis Improvement District,2013,Census Division No. 9 2013,0,3
Lac La Biche County,2012,Clear Hills County 2012,0,4
Mackenzie County,2012,Clearwater County 2012,0,0
Mountain View County,2012,Kananaskis Improvement District 2012,0,0
Municipal District of Bighorn,2013,Athabasca County 2013,0,0
Municipal District of Bonnyville,2013,Big Lakes County 2013,0,0
Municipal District of Greenview,2013,Brazeau County 2013,0,0
Municipal District of Lesser Slave River,2014,Athabasca County 2014,0,0
Municipal District of Opportunity,2014,Big Lakes County 2014,0,0
Municipal District of Pincher Creek No. 9,2014,Brazeau County 2014,0,0
Municipal District of Ranchland No. 66,2015,Athabasca County 2015,0,0
Municipal District of Smoky River,2016,Athabasca County 2016,0,0
Northern Sunrise County,2016,Big Lakes County 2016,0,0
Ponoka County,2016,Census Division No. 9 2016,0,0
Saddle Hills County,2017,Athabasca County 2017,0,0
Wood Buffalo,2017,Big Lakes County 2017,0,0
Woodlands County,2017,Brazeau County 2017,0,0
Yellowhead County,2017,Census Division No. 9 2017,0,0
Athabasca County,2018,Athabasca County 2018,0,0
Big Lakes County,2018,Big Lakes County 2018,0,0
Brazeau County,2018,Brazeau County 2018,0,0
Census Division No. 9,2018,Census Division No. 9 2018,0,0
Clear Hills County,2018,Clear Hills County 2018,0,0
Clearwater County,2018,Clearwater County 2018,0,0
County of Grande Prairie,2018,County of Grande Prairie 2018,0,0
County of Northern Lights,2018,County of Northern Lights 2018,0,0
County of Wetaskiwin,2018,County of Wetaskiwin 2018,0,0
Kananaskis Improvement District,2018,Kananaskis Improvement District 2018,0,0
Lac La Biche County,2018,Lac La Biche County 2018,0,0
Mackenzie County,2018,Mackenzie County 2018,0,0
Mountain View County,2018,Mountain View County 2018,0,0
